Competitor Landscape,,,,,,,,,,,,,Courses on Design,,Courses on Computer Science,,,,,,,,,,,Social Site Follower,,,
SL,Platform Name,Web Address,Launching Date ,e Teachers,Total_Number_of_Courses,Total Students ,Having Live class,Live Classes Number ,Total Category Number ,Courses on Skill/professional Development,Courses on  development/design(web/software/game),Courses on digital marketing ,Courses on Design(including graphic),Courses on Video editing,Courses on Data Science,Courses on programming,Other, Academic Courses,Language Courses,Competitive courses,Freelancing course,Free Courses,Number of website blogs,Courses with highest price(in tk),Courses with lowest price(in tk),Facebook,You Tube,Number of employees,Financier
1,Robi 10 minutes school,https://10minuteschool.com/             ,May-15,NA,140,NA,0,0,9,16,1,5,2,1,0,1,0,103,3,3,0,100,1300,3000,450,1800000,1850000,51-200,Local market finance
2,Amar iSchool - ???? ?-?????,https://amarischool.com/,"November, 2020",NA,31,NA,1,4,6,1,4,0,3,1,2,8,9,0,0,2,0,1,21,15000,500,32000,1690,51-200,Own finance
3,Amar Pathshala,https://amarpathshala.com/,"February, 2011",NA,6,NA,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,9,0,0,34,"44600
","11-50
",Own finance
4,BacBon School,https://bacbonschool.com/,"september, 2016",152,74,9000,0,0,3,2,0,0,0,0,0,0,0,41,0,31,0,74,196,0,0,"15000
",33,50,Own finance
5,Bdjobs Learning,https://www.bdjobs.com/,"December,2018",471,120,NA,1,122,13,95,0,19,0,0,1,0,6,0,1,0,0,0,0,5000,1000,811147,7870,NA,Own finance
6,Bidyapeet,https://www.bidyapeet.com/,"December, 2020",NA,25,NA,1,1,5,13,0,11,0,0,0,0,0,0,1,0,0,4,3,8500,500,1192,3,10,Own finance
7,Bohubrihi ,https://bohubrihi.com/,"April, 2021",NA,61,NA,0,0,8,0,19,12,6,0,8,14,0,0,0,7,0,14,156,10000,300,80247,9220,"11-50
",Own finance
8,Bondhi Pathshala,https://bondipathshala.net/,"October, 2020",42,37,400000,1,1000,2,0,0,0,0,0,0,0,0,31,0,6,0,0,0,3000,500,394000,,NA,Own finance
9,Bongo Academy,https://bongoacademy.com/,"April, 2021",5,2,200,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1460,1150,5416,,NA,Own finance
10,BYLCx,https://x.bylc.org/,"september, 2017",NA,69,NA,0,0,7,53,0,12,0,0,1,0,0,0,3,0,0,69,0,0,0,"
170914",,NA,Own finance
